,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
301,"JOYCE, JOHN",H8PA13125,REP,PA,1522103.44,John Joyce,U.S. House Pennsylvania District 13,Representative,1.0,"('U.S. House Pennsylvania District 13', 'Representative')",4,1895910.83,0.8028349307968244
302,"KANE, TIM",H8OH12263,REP,OH,514433.53,Tim Kane,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.07065724078466235
303,"KANE, TIM",H8OH12263,REP,OH,514433.53,Tim Kane,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.07065724078466235
304,"KANEW, JUSTIN",H8TN07068,DEM,TN,494481.5,Justin Kanew,U.S. House Tennessee District 7,Representative,1.0,"('U.S. House Tennessee District 7', 'Representative')",2,691307.28,0.7152846705158378
305,"KAPLE, BOBBY",H8GA06369,DEM,GA,693572.44,Bobby Kaple,U.S. House Georgia District 6,Representative,0.0,"('U.S. House Georgia District 6', 'Representative')",3,1604455.5799999998,0.43227899148195803
306,"KEIRSTEAD, HANS",H8CA48076,DEM,CA,2178356.89,Hans Keirstead,U.S. House California District 48,Representative,0.0,"('U.S. House California District 48', 'Representative')",5,3344733.0700000003,0.6512797417343681
307,"KELLER, CRAIG",H4WA07073,REP,WA,7204.0,Craig Keller,U.S. House Washington District 7,Representative,1.0,"('U.S. House Washington District 7', 'Representative')",1,7204.0,1.0
309,"KELLY, BRENDAN",H8IL12129,DEM,IL,3931101.31,Brendan Kelly,U.S. House Illinois District 12,Representative,1.0,"('U.S. House Illinois District 12', 'Representative')",1,3931101.31,1.0
311,"KENNEDY, MIKE",S8UT00242,REP,UT,752498.82,Mike Kennedy,U.S. Senate Utah,Senator,0.0,"('U.S. Senate Utah', 'Senator')",2,1713294.92,0.4392114931386127
312,"KERR, PAUL",H8CA49066,DEM,CA,8182261.8,Paul Kerr,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.40980713054543855
313,"KESTO, KLINT",H8MI11270,REP,MI,649799.0,Klint Kesto,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.07965281820531923
315,"KHORASANI, ALI",H8TX02083,DEM,TX,12829.87,Ali Khorasani,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.0033891725733151035
316,"KIER, GRANT",H8MT00119,DEM,MT,842507.79,Grant Kier,U.S. House Montana At-large District,Representative,0.0,"('U.S. House Montana At-large District', 'Representative')",5,6107762.06,0.13794050614997272
317,"KILEY, DAN",S8OH00110,REP,OH,1106376.5,Dan Kiley,U.S. Senate Ohio,Senator,0.0,"('U.S. Senate Ohio', 'Senator')",2,1144754.5,0.9664749079387764
318,"KIM, DAVID",H8GA07151,DEM,GA,1547808.5,David Kim,U.S. House Georgia District 7,Representative,0.0,"('U.S. House Georgia District 7', 'Representative')",5,5103604.22,0.303277533538837
319,"KIM, PEARL",H8PA05295,REP,PA,521262.95,Pearl Kim,U.S. House Pennsylvania District 5,Representative,1.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.13432049707589544
320,"KIM, YOUNG",H8CA39240,REP,CA,2907665.64,Young Kim,U.S. House California District 39,Representative,1.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.33007594725563105
321,"KING, JESSICA",H8PA16078,DEM,PA,1947624.76,Jessica King,U.S. House Pennsylvania District 11,Representative,1.0,"('U.S. House Pennsylvania District 11', 'Representative')",1,1947624.76,1.0
322,"KIPNIS, DARYL",H8NJ12108,REP,NJ,24783.35,Daryl Kipnis,U.S. House New Jersey District 12,Representative,1.0,"('U.S. House New Jersey District 12', 'Representative')",1,24783.35,1.0
323,"KIRKLAND, THADDEUS",H8PA05279,DEM,PA,61542.79,Thaddeus Kirkland,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.015858518515918785
324,"KLINE, DANNER",H8AL06099,DEM,AL,287432.23,Danner Kline,U.S. House Alabama District 6,Representative,1.0,"('U.S. House Alabama District 6', 'Representative')",1,287432.23,1.0
325,"KNIGHT, DAVID DREW",S8NV00198,DEM,NV,0.0,David Drew Knight,U.S. Senate Nevada,Senator,0.0,"('U.S. Senate Nevada', 'Senator')",4,28399690.35,0.0
326,"KOPSER, JOSEPH",H8NY21237,DEM,NY,0.0,Joseph Kopser,U.S. House Texas District 21,Representative,1.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.0
327,"KOPSER, JOSEPH",H8TX21190,DEM,TX,3251481.82,Joseph Kopser,U.S. House Texas District 21,Representative,1.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.5508624793550573
328,"KOTICK, MICHAEL",H8CA48100,DEM,CA,531818.3,Michael Kotick,U.S. House California District 48,Representative,0.0,"('U.S. House California District 48', 'Representative')",5,3344733.0700000003,0.15900171669005564
329,"KRANTZ, CATHERINE",H8TX04162,DEM,TX,29171.29,Catherine Krantz,U.S. House Texas District 4,Representative,1.0,"('U.S. House Texas District 4', 'Representative')",1,29171.29,1.0
330,"KREBS, SHANTEL",H8SD01063,REP,SD,685166.15,Shantel Krebs,U.S. House South Dakota At-large District,Representative,0.0,"('U.S. House South Dakota At-large District', 'Representative')",3,2535713.92,0.27020640798469886
331,"KREHNBRINK, BILL",S8MD00369,REP,MD,0.0,Bill Krehnbrink,U.S. Senate Maryland,Senator,0.0,"('U.S. Senate Maryland', 'Senator')",6,41556.17,0.0
333,"KULKARNI, SRI PRESTON",H8TX22313,DEM,TX,1637103.82,Sri Preston Kulkarni,U.S. House Texas District 22,Representative,1.0,"('U.S. House Texas District 22', 'Representative')",5,1807126.53,0.9059154369229475
334,"KUSHMER, DANNY",H8FL15248,REP,FL,77077.25,Danny Kushmer,U.S. House Florida District 15,Representative,0.0,"('U.S. House Florida District 15', 'Representative')",3,316694.25,0.24338064237036194
335,"LA CROIX, THOMAS MARK",H8NV03291,REP,NV,0.0,Thomas Mark La Croix,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.0
336,"LANE, ERIK",H8MD01250,DEM,MD,0.0,Erik Lane,U.S. House Maryland District 1,Representative,0.0,"('U.S. House Maryland District 1', 'Representative')",2,1876162.65,0.0
337,"LANGE, WERNER",H8OH06117,DEM,OH,797.0,Werner Lange,U.S. House Ohio District 6,Representative,0.0,"('U.S. House Ohio District 6', 'Representative')",2,23824.73,0.03345263514004146
338,"LARA, DAMIAN",H8NM01364,DEM,NM,477889.7,Damian Lara,U.S. House New Mexico District 1,Representative,0.0,"('U.S. House New Mexico District 1', 'Representative')",5,4358793.38,0.10963807144260644
339,"LAWTON, ROBERT",H8CA04244,DEM,CA,0.0,Robert Lawton,U.S. House California District 4,Representative,0.0,"('U.S. House California District 4', 'Representative')",3,4618138.96,0.0
340,"LEE, HERBERT",H8CA39299,DEM,CA,1064247.19,Herbert Lee,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.12081251520838328
341,"LEE, SUSIE",H6NV04020,DEM,NV,5087840.82,Susie Lee,U.S. House Nevada District 3,Representative,1.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.8976828556201966
342,"LEIB, BRYAN",H6PA01165,DEM,PA,18077.0,Bryan Leib,U.S. House Pennsylvania District 3,Representative,1.0,"('U.S. House Pennsylvania District 3', 'Representative')",1,18077.0,1.0
343,"LESKO, DEBBIE",H8AZ08158,REP,AZ,2103473.83,Debbie Lesko,U.S. House Arizona District 8,Representative,1.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.2766994272384772
344,"LEVENSON, STEWART",H8NH02267,REP,NH,514562.19,Stewart Levenson,U.S. House New Hampshire District 2,Representative,0.0,"('U.S. House New Hampshire District 2', 'Representative')",4,1110510.85,0.4633562922865634
345,"LEVIN, ANDY",H8MI09118,DEM,MI,1492163.61,Andy Levin,U.S. House Michigan District 9,Representative,1.0,"('U.S. House Michigan District 9', 'Representative')",3,2931987.88,0.5089255723662814
346,"LEVIN, MIKE",H8CA49058,DEM,CA,6055213.14,Mike Levin,U.S. House California District 49,Representative,1.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.3032742757930863
347,"LEVIN, NAOMI",H8NY10099,REP,NY,82474.0,Naomi Levin,U.S. House New York District 10,Representative,1.0,"('U.S. House New York District 10', 'Representative')",1,82474.0,1.0
348,"LI, LINDY",H6PA07113,DEM,PA,168138.0,Lindy Li,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.04332627081465681
349,"LIBERATORE, PHIL",H8CA39307,REP,CA,250772.0,Phil Liberatore,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.028467442853982724
350,"LIEBNITZKY, WAYNE",H6FL09195,REP,FL,71506.89,Wayne Liebnitzky,U.S. House Florida District 9,Representative,1.0,"('U.S. House Florida District 9', 'Representative')",1,71506.89,1.0
351,"LIEN, DAVID",H8AZ08109,REP,AZ,17745.0,David Lien,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.0023342488346274207
352,"LINDERMAN, HANK",H8KY02080,DEM,KY,183296.01,Hank Linderman,U.S. House Kentucky District 2,Representative,1.0,"('U.S. House Kentucky District 2', 'Representative')",4,190886.86000000002,0.9602337740795778
353,"LINDSTROM, BETH",S8MA00326,REP,MA,1621187.58,Beth Lindstrom,U.S. Senate Massachusetts,Senator,0.0,"('U.S. Senate Massachusetts', 'Senator')",2,4646221.140000001,0.34892604788931764
354,"LIPTON, ELLEN",H8MI09134,DEM,MI,1403536.62,Ellen Lipton,U.S. House Michigan District 9,Representative,0.0,"('U.S. House Michigan District 9', 'Representative')",3,2931987.88,0.478697961057056
355,"LITTLE, PATRICK",S8CA00606,REP,CA,13653.0,Patrick Little,U.S. Senate California,Senator,0.0,"('U.S. Senate California', 'Senator')",4,55771.0,0.24480464757669756
356,"LIVENGOOD, MARLA",H8CA09144,REP,CA,99966.73,Marla Livengood,U.S. House California District 9,Representative,1.0,"('U.S. House California District 9', 'Representative')",1,99966.73,1.0
357,"LLOYD, LISA",H8MD06184,REP,MD,20253.0,Lisa Lloyd,U.S. House Maryland District 6,Representative,0.0,"('U.S. House Maryland District 6', 'Representative')",5,2840832.48,0.007129248254722855
358,"LOMBARD, LAURA",H8KS04088,DEM,KS,112949.81,Laura Lombard,U.S. House Kansas District 4,Representative,0.0,"('U.S. House Kansas District 4', 'Representative')",1,112949.81,1.0
359,"LOMBARDI-OLIVE, CAMILLE",H6MO07235,REP,MO,0.0,Camille Lombardi-Olive,U.S. House Missouri District 1,Representative,0.0,"('U.S. House Missouri District 1', 'Representative')",3,100.0,0.0
360,"LOMBARDI-OLIVE, CAMILLE",S8MO00194,REP,MO,0.0,Camille Lombardi-Olive,U.S. House Missouri District 1,Representative,0.0,"('U.S. House Missouri District 1', 'Representative')",3,100.0,0.0
361,"LONGJOHN, MATT",H8MI06155,DEM,MI,1453674.97,Matt Longjohn,U.S. House Michigan District 6,Representative,1.0,"('U.S. House Michigan District 6', 'Representative')",3,2493972.48,0.5828753050234139
362,"LORCH, MARK WAYNE",H8IL04175,REP,IL,8109.36,Mark Wayne Lorch,U.S. House Illinois District 4,Representative,1.0,"('U.S. House Illinois District 4', 'Representative')",4,1269534.4800000002,0.006387664240517515
363,"LORD, CHRISTINA",H8KY04185,DEM,KY,0.0,Christina Lord,U.S. House Kentucky District 4,Representative,0.0,"('U.S. House Kentucky District 4', 'Representative')",2,36119.61,0.0
364,"LOVAS, PHIL",H8AZ08133,REP,AZ,318412.83,Phil Lovas,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.041885307261646604
365,"LOVE, SHIRLEY",H8WV03121,DEM,WV,64000.0,Shirley Love,U.S. House West Virginia District 3,Representative,0.0,"('U.S. House West Virginia District 3', 'Representative')",4,201678.56,0.31733665690592
366,"LUNKENHEIMER, ASHLEY",H8PA07184,DEM,PA,884076.29,Ashley Lunkenheimer,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.22781125481067377
367,"LURIA, ELAINE",H8VA02111,DEM,VA,4278196.33,Elaine Luria,U.S. House Virginia District 2,Representative,1.0,"('U.S. House Virginia District 2', 'Representative')",1,4278196.33,1.0
368,"MACK, RICHARD",H8AZ08190,REP,AZ,72709.69,Richard Mack,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.00956452573393187
369,"MADUENO, VIRGINIA",H8CA10175,DEM,CA,355454.26,Virginia Madueno,U.S. House California District 10,Representative,0.0,"('U.S. House California District 10', 'Representative')",3,9637249.959999999,0.036883370409124476
370,"MALIK, SILKY",H8TX02158,DEM,TX,19431.18,Silky Malik,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.005132992175536383
371,"MALINOWSKI, TOM",H8NJ07223,DEM,NJ,6306928.1,Tom Malinowski,U.S. House New Jersey District 7,Representative,1.0,"('U.S. House New Jersey District 7', 'Representative')",2,6448364.33,0.978066340119464
372,"MANJARRES, JAVIER",H8FL22079,REP,FL,87122.16,Javier Manjarres,U.S. House Florida District 22,Representative,0.0,"('U.S. House Florida District 22', 'Representative')",1,87122.16,1.0
373,"MANNING, KATHY",H8NC13067,DEM,NC,4211689.46,Kathy Manning,U.S. House North Carolina District 13,Representative,1.0,"('U.S. House North Carolina District 13', 'Representative')",2,4283327.41,0.9832751636419966
374,"MANNO, ROGER",H8MD06150,DEM,MD,442709.56,Roger Manno,U.S. House Maryland District 6,Representative,0.0,"('U.S. House Maryland District 6', 'Representative')",5,2840832.48,0.15583796760870602
375,"MAPP, CHRIS",H8TX27080,REP,TX,47924.5,Chris Mapp,U.S. House Texas District 27,Representative,0.0,"('U.S. House Texas District 27', 'Representative')",8,1671717.96,0.028667814276518273
376,"MARKS, STEPHEN",H6FL18170,REP,FL,450000.0,Stephen Marks,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.1303793166020357
377,"MARQUEZ PETERSON, LEA",H8AZ02185,REP,AZ,1466445.23,Lea Marquez Peterson,U.S. House Arizona District 2,Representative,1.0,"('U.S. House Arizona District 2', 'Representative')",1,1466445.23,1.0
378,"MARTIN, ANDY",H6NH02196,REP,NH,0.0,Andy Martin,U.S. House New Hampshire District 1,Representative,0.0,"('U.S. House New Hampshire District 1', 'Representative')",5,2480153.7399999998,0.0
379,"MARTZ, EMILY",H8NY21260,DEM,NY,250823.86,Emily Martz,U.S. House New York District 21,Representative,0.0,"('U.S. House New York District 21', 'Representative')",3,715162.9299999999,0.35072268077429575
380,"MARVIN, LARRY",S8NE00141,DEM,NE,35207.23,Larry Marvin,U.S. Senate Nebraska,Senator,0.0,"('U.S. Senate Nebraska', 'Senator')",2,2141281.81,0.016442128184893143
381,"MARYOTT, BRIAN",H8CA49108,REP,CA,760193.75,Brian Maryott,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.038074169094183284
382,"MASON, RAZ",H8OR02187,DEM,OR,8660.0,Raz Mason,U.S. House Oregon District 2,Representative,0.0,"('U.S. House Oregon District 2', 'Representative')",5,270054.13,0.03206764510507579
383,"MATERNOWSKI, TODD",H8TX32114,DEM,TX,5731.0,Todd Maternowski,U.S. House Texas District 32,Representative,0.0,"('U.S. House Texas District 32', 'Representative')",4,6811149.959999999,0.0008414144503727827
384,"MATHENY, JUDD",H8TN06086,REP,TN,276131.91,Judd Matheny,U.S. House Tennessee District 6,Representative,0.0,"('U.S. House Tennessee District 6', 'Representative')",4,398608.39999999997,0.6927398168227262
385,"MATORY, LIZ",H6MD08507,REP,MD,39521.42,Liz Matory,U.S. House Maryland District 2,Representative,1.0,"('U.S. House Maryland District 2', 'Representative')",2,79042.84,0.5
386,"MATORY, LIZ",H8MD02118,REP,MD,39521.42,Liz Matory,U.S. House Maryland District 2,Representative,1.0,"('U.S. House Maryland District 2', 'Representative')",2,79042.84,0.5
387,"MATTA, TATIANA",H8CA23103,DEM,CA,116057.86,Tatiana Matta,U.S. House California District 23,Representative,1.0,"('U.S. House California District 23', 'Representative')",3,155492.97999999998,0.7463864928178752
388,"MAY, WENDY",H8NC02078,DEM,NC,0.0,Wendy May,U.S. House North Carolina District 2,Representative,0.0,"('U.S. House North Carolina District 2', 'Representative')",3,2383565.77,0.0
389,"MAZESKI, KELLY",H8IL06121,DEM,IL,923500.75,Kelly Mazeski,U.S. House Illinois District 6,Representative,0.0,"('U.S. House Illinois District 6', 'Representative')",6,8244590.320000001,0.112012933833685
391,"MEDWAY, DAVID",H8CA49140,REP,CA,0.0,David Medway,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.0
394,"MEYER, JOHN",H6IN01207,REP,IN,0.0,John Meyer,U.S. House Montana At-large District,Representative,0.0,"('U.S. House Montana At-large District', 'Representative')",5,6107762.06,0.0
396,"MEYER, JOHN",H8MT01265,DEM,MT,0.0,John Meyer,U.S. House Montana At-large District,Representative,0.0,"('U.S. House Montana At-large District', 'Representative')",5,6107762.06,0.0
398,"MILLER, ARUNA",H8MD06143,DEM,MD,1471241.06,Aruna Miller,U.S. House Maryland District 6,Representative,0.0,"('U.S. House Maryland District 6', 'Representative')",5,2840832.48,0.5178908191024344
399,"MILLER, DARREL",H4IL18117,DEM,IL,0.0,Darrel Miller,U.S. House Illinois District 18,Representative,0.0,"('U.S. House Illinois District 18', 'Representative')",3,98894.39,0.0
400,"MILLER, JEFF",H8NV04067,REP,NV,0.0,Jeff Miller,U.S. House Nevada District 4,Representative,0.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.0
401,"MILLER, MIKE",H8FL07062,REP,FL,1137563.66,Mike Miller,U.S. House Florida District 7,Representative,1.0,"('U.S. House Florida District 7', 'Representative')",1,1137563.66,1.0
402,"MITCHELL, MARK",H8TX06324,REP,TX,0.0,Mark Mitchell,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.0
403,"MITRANO, TRACY",H8NY23183,DEM,NY,1775877.64,Tracy Mitrano,U.S. House New York District 23,Representative,1.0,"('U.S. House New York District 23', 'Representative')",3,2180511.32,0.8144317453027485
404,"MOHAN, RADHAKRISHNA",H8NY11139,DEM,NY,118663.12,Radhakrishna Mohan,U.S. House New York District 11,Representative,0.0,"('U.S. House New York District 11', 'Representative')",4,4847789.35,0.024477779753363252
405,"MONROE, MIKE",H4NV04033,REP,NV,0.0,Mike Monroe,U.S. House Nevada District 4,Representative,0.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.0
406,"MONTENEGRO, STEVE",H8AZ08174,REP,AZ,356446.69,Steve Montenegro,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.04688843453025086
407,"MOORE, KYLE BRENDEN",H8IN05204,DEM,IN,6244.35,Kyle Brenden Moore,U.S. House Indiana District 5,Representative,0.0,"('U.S. House Indiana District 5', 'Representative')",3,6678.35,0.9350138881609978
408,"MOORE, SIDNEY",H8SC05265,DEM,SC,0.0,Sidney Moore,U.S. House South Carolina District 5,Representative,0.0,"('U.S. House South Carolina District 5', 'Representative')",2,2039416.09,0.0
409,"MORGANELLI, JOHN",H8PA15278,DEM,PA,262745.0,John Morganelli,U.S. House Pennsylvania District 7,Representative,0.0,"('U.S. House Pennsylvania District 7', 'Representative')",5,4261507.57,0.061655410833870695
410,"MORSE, JESSICA",H8CA04210,DEM,CA,3813237.37,Jessica Morse,U.S. House California District 4,Representative,1.0,"('U.S. House California District 4', 'Representative')",3,4618138.96,0.8257086681514668
411,"MORTENSEN, MICHELLE",H8NV03218,REP,NV,138283.18,Michelle Mortensen,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.02439825542864402
412,"MOSER, LAURA",H8TX07116,DEM,TX,1319841.25,Laura Moser,U.S. House Texas District 7,Representative,0.0,"('U.S. House Texas District 7', 'Representative')",3,2005288.95,0.6581800842217777
413,"MOSSER, JOHN MARSHALL",H8SC04383,REP,SC,24875.0,John Marshall Mosser,U.S. House South Carolina District 4,Representative,0.0,"('U.S. House South Carolina District 4', 'Representative')",6,616503.09,0.04034854066992592
414,"MOTTUS, KEVIN",S8CA00614,REP,CA,0.0,Kevin Mottus,U.S. Senate California,Senator,0.0,"('U.S. Senate California', 'Senator')",4,55771.0,0.0
415,"MOYA, PAUL",H8NM01430,DEM,NM,212632.86,Paul Moya,U.S. House New Mexico District 1,Representative,0.0,"('U.S. House New Mexico District 1', 'Representative')",5,4358793.38,0.04878250503353752
416,"MURTAUGH, MORGAN",H8CA53084,REP,CA,94570.86,Morgan Murtaugh,U.S. House California District 53,Representative,1.0,"('U.S. House California District 53', 'Representative')",2,94570.86,1.0
417,"NABLIBA, MARIO",S8CA00523,REP,CA,9630.0,Mario Nabliba,U.S. Senate California,Senator,0.0,"('U.S. Senate California', 'Senator')",4,55771.0,0.17267038424987896
418,"NALBANDIAN, JOHNNY",H8CA28185,REP,CA,36370.0,Johnny Nalbandian,U.S. House California District 28,Representative,1.0,"('U.S. House California District 28', 'Representative')",1,36370.0,1.0
419,"NARVAIZ, SUSAN",H8TX21224,REP,TX,70808.77,Susan Narvaiz,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.011996344055302761
421,"NAVARRO, OMAR",H6CA44145,REP,CA,1173123.55,Omar Navarro,U.S. House California District 43,Representative,1.0,"('U.S. House California District 43', 'Representative')",2,1191633.31,0.9844668994692671
422,"NEAHRING, JENNIFER",H8OR02179,DEM,OR,175768.13,Jennifer Neahring,U.S. House Oregon District 2,Representative,0.0,"('U.S. House Oregon District 2', 'Representative')",5,270054.13,0.6508625881781552
423,"NEAL, RICK",H8OH15134,DEM,OH,1328023.44,Rick Neal,U.S. House Ohio District 15,Representative,1.0,"('U.S. House Ohio District 15', 'Representative')",2,1328023.44,1.0
424,"NEASE, JAMES",H8IN04264,REP,IN,0.0,James Nease,U.S. House Indiana District 4,Representative,0.0,"('U.S. House Indiana District 4', 'Representative')",5,166520.63,0.0
425,"NEGRON, STEVE",H8NH02275,REP,NH,461905.1,Steve Negron,U.S. House New Hampshire District 2,Representative,1.0,"('U.S. House New Hampshire District 2', 'Representative')",4,1110510.85,0.41593929496501536
426,"NELSON, KEVIN",H8TX10136,DEM,TX,26219.21,Kevin Nelson,U.S. House Texas District 10,Representative,0.0,"('U.S. House Texas District 10', 'Representative')",2,31334.21,0.8367598863989231
427,"NELSON, SHAWN",H8CA39232,REP,CA,694900.84,Shawn Nelson,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.0788846041499234
428,"NEWBROUGH, JACK",S8WV00168,REP,WV,0.0,Jack Newbrough,U.S. Senate West Virginia,Senator,0.0,"('U.S. Senate West Virginia', 'Senator')",2,4165210.09,0.0
429,"NEWMAN, MONTY",H8NM02073,REP,NM,886783.38,Monty Newman,U.S. House New Mexico District 2,Representative,0.0,"('U.S. House New Mexico District 2', 'Representative')",4,5891239.15,0.1505257819995306
430,"NEWTON, WILLIAM",H6MD07434,REP,MD,0.0,William Newton,U.S. House Maryland District 7,Representative,0.0,"('U.S. House Maryland District 7', 'Representative')",3,19278.86,0.0
432,"NICHOLS, KRISTI",S0MO00290,REP,MO,0.0,Kristi Nichols,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.0
433,"NICHOLSON, KEVIN",S8WI00216,REP,WI,3893750.0,Kevin Nicholson,U.S. Senate Wisconsin,Senator,0.0,"('U.S. Senate Wisconsin', 'Senator')",2,9746449.030000001,0.39950447470815936
434,"NIEDERKORN, DAVID",H8TX03149,REP,TX,53845.74,David Niederkorn,U.S. House Texas District 3,Representative,0.0,"('U.S. House Texas District 3', 'Representative')",4,61895.74,0.8699425840938326
435,"NIERMANN, TOM",H8KS03114,DEM,KS,810073.47,Tom Niermann,U.S. House Kansas District 3,Representative,0.0,"('U.S. House Kansas District 3', 'Representative')",5,7093256.309999999,0.11420332701892738
436,"NORDAL, CRAIG",H8CA49157,REP,CA,11821.14,Craig Nordal,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.0005920596995779217
438,"OAKS, RICHONDA",H8MO05136,REP,MO,0.0,Richonda Oaks,U.S. House Missouri District 5,Representative,0.0,"('U.S. House Missouri District 5', 'Representative')",2,102642.92,0.0
439,"OATMAN, LAURA",H8CA48043,DEM,CA,244289.89,Laura Oatman,U.S. House California District 48,Representative,0.0,"('U.S. House California District 48', 'Representative')",5,3344733.0700000003,0.07303718559520207
440,"OH, THOMAS",H8VA08159,REP,VA,74602.45,Thomas Oh,U.S. House Virginia District 8,Representative,1.0,"('U.S. House Virginia District 8', 'Representative')",1,74602.45,1.0
441,"OHEVZION, MICHAEL",H8FL27201,REP,FL,183070.0,Michael Ohevzion,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.053041203311854836
442,"OLSEN, MARTIN",H8TN01079,DEM,TN,163457.48,Martin Olsen,U.S. House Tennessee District 1,Representative,1.0,"('U.S. House Tennessee District 1', 'Representative')",1,163457.48,1.0
443,"OLSON, CRAIG",H8ME02177,DEM,ME,119834.0,Craig Olson,U.S. House Maine District 2,Representative,0.0,"('U.S. House Maine District 2', 'Representative')",3,6606157.779999999,0.01813974234203047
444,"ORLINSKI, JOHN",S8WA00327,REP,WA,0.0,John Orlinski,U.S. Senate Washington,Senator,0.0,"('U.S. Senate Washington', 'Senator')",2,1933255.94,0.0
445,"OSMACK, MARK",H8MO02216,DEM,MO,199663.57,Mark Osmack,U.S. House Missouri District 2,Representative,0.0,"('U.S. House Missouri District 2', 'Representative')",1,199663.57,1.0
446,"PALLANT, MARY",H6CA24246,DEM,CA,8295.09,Mary Pallant,U.S. House California District 25,Representative,0.0,"('U.S. House California District 25', 'Representative')",3,1720933.32,0.004820111217324795
447,"PALMER, SUSAN MORAN",H8OH16157,DEM,OH,473098.14,Susan Moran Palmer,U.S. House Ohio District 16,Representative,1.0,"('U.S. House Ohio District 16', 'Representative')",4,938238.0800000001,0.504241034429129
448,"PANDA, CHETAN",H8TX25134,DEM,TX,116152.57,Chetan Panda,U.S. House Texas District 25,Representative,0.0,"('U.S. House Texas District 25', 'Representative')",3,156507.77000000002,0.7421520989021823
449,"PANNU, JASDEEP",S8VT00125,REP,VT,0.0,Jasdeep Pannu,U.S. Senate Vermont,Senator,0.0,"('U.S. Senate Vermont', 'Senator')",2,168278.39,0.0
450,"PAPPAS, ANTHONY",H8NY14133,REP,NY,8161.0,Anthony Pappas,U.S. House New York District 14,Representative,1.0,"('U.S. House New York District 14', 'Representative')",1,8161.0,1.0
452,"PARKER, GRAYSON",H8NC07127,DEM,NC,2955.05,Grayson Parker,U.S. House North Carolina District 7,Representative,0.0,"('U.S. House North Carolina District 7', 'Representative')",1,2955.05,1.0
